model,sentence_id,input,output,ttft_s,total_s,memory,rule_violation,교정성공,의도보존,정돈품질,비고
qwen3.5:4b,s01,이 컴포넌트 useState 말고 useReducer으로 리팩토링 해줘,이 컴포넌트를 useReducer 로 리팩토링해줘,0.974,1.233,4.3 GB,,해당없음,X,,'useState 말고' 누락 재발 — v2 규칙2·맥락 보존 예시로도 미해결
qwen3.5:4b,s02,useEffect의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,useEffect 의 cleanup 함수 리턴하는거 빠졌으니까 추가해줘,0.920,1.195,4.3 GB,,해당없음,O,,원문 유지
qwen3.5:4b,s03,async await로 바꾸고 try catch로 에러 핸들링 해줘,async/await 로 바꾸고 try/catch 로 에러 핸들링 해줘,0.919,1.210,4.3 GB,,해당없음,O,,async await→async/await 표기 변형(경미)
qwen3.5:4b,s04,이 함수 TypeScript Generic으로 Type 잡아줘,TypeScript Generic 으로 타입을 잡아줘,0.903,1.060,4.3 GB,,X,X,,"'이 함수' 누락 재발 / Type→타입 교정, Generic 유지"
qwen3.5:4b,s05,React Query로 캐싱하게 바꾸고 staleTime 5분으로 설정해줘,React Query 로 캐싱을 변경하고 staleTime 을 5 분 으로 설정해 주세요.,0.949,1.276,4.3 GB,,해당없음,O,,"'캐싱을 변경' 어색(경미), 존댓말화"
qwen3.5:4b,s06,git rebase로 커밋 세개를 하나로 squash해줘,Git rebase 로 커밋 세 개를 하나로 squash 해줘,0.921,1.162,4.3 GB,,해당없음,O,,git→Git 대문자화 훼손(경미)
qwen3.5:4b,s07,Dockerfile에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,Dockerfile 에서 멀티 스테이지 빌드 로 이미지 사이즈 줄여줘,0.924,1.215,4.3 GB,,해당없음,O,,
qwen3.5:4b,s08,이 API 엔드포인트에 rate limiting mid layer 붙여줘,API 엔드포인트에 rate limiting 미들 레이어 추가해줘,0.922,1.162,4.3 GB,,X,O,,mid layer→'미들 레이어' 음차 — 미들웨어/middleware 복원 실패(v1 대비 후퇴)
qwen3.5:4b,s09,Tailwind로 다크모드 대응하는 클래스 추가해줘,Tailwind 로 다크 모드 대응하는 클래스 추가해줘,0.911,1.133,4.3 GB,,해당없음,O,,
qwen3.5:4b,s10,cmux에서 새 pane 열어서 테스트 워처 돌려줘,cmux 에서 새 Pane 열어서 테스트 Watcher 돌리세요,0.911,1.136,4.3 GB,,해당없음,O,,"용어 훼손: pane→Pane, 워처→Watcher 대문자·영어화 / 존댓말화"
qwen3.5:4b,s11,방금 수정한 부분 다시 원래대로 되돌려줘,방금 수정한 부분 다시 원래대로 되돌려줘,0.922,1.128,4.3 GB,,해당없음,O,,원문 유지
qwen3.5:4b,s12,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,이 파일에서 중복되는 로직을 찾아서 함수로 추출해 달라.,0.911,1.186,4.3 GB,,해당없음,O,,뽑아줘→추출해 달라 바꿔쓰기(경미)
qwen3.5:4b,s13,변수 이름들 좀 더 명확하게 바꿔줘,변수 이름들 좀 더 명확하게 바꿔줘,0.911,1.084,4.3 GB,,해당없음,O,,원문 유지
qwen3.5:4b,s14,주석 달아줘 근데 너무 길게는 말고,"주석을 추가해달라. 다만, 지나치게 길게 작성하지 말 것.",0.912,1.219,4.3 GB,,해당없음,O,,"v1 '말하지 마' 왜곡 해소 — 주석 길이 제한 의미 정확, 명령문투(경미)"
qwen3.5:4b,s15,이거 왜 안되는지 원인부터 찾아줘,이거 왜 안 되는지 원인부터 찾아줘,0.914,1.089,4.3 GB,,해당없음,O,,완전 원문 통과 ✓ (v1 문두 누락 해소)
qwen3.5:4b,s16,성능 문제 있는 부분 프로파일링해서 알려줘,성능 문제있는 부분 프로파일링해서 알려줘,0.914,1.103,4.3 GB,,해당없음,O,,
qwen3.5:4b,s17,npm run dev하고 error log 보여줘,npm run dev 하고 error log 보여줘,0.913,1.051,4.3 GB,,X,O,,error log 미교정(원문 유지)
qwen3.5:4b,s18,pytest로 유닛 테스트 돌리고 실패한 것만 정리해줘,pytest 로 유닛 테스트 돌리고 실패한 것만 정리해줘,0.927,1.200,4.3 GB,,해당없음,O,,
qwen3.5:4b,s19,"main branch에 rebase하고, force push 해줘","main 브랜치에 재베이스하고, 포스 푸시 해줘",0.911,1.173,4.3 GB,,해당없음,O,,"rebase→'재베이스', force push→'포스 푸시' 한글 음차화(규칙5 역방향·용어 훼손 심각)"
qwen3.5:4b,s20,environment variable에서 API key 읽어오기 바꿔줘,환경 변수에서 API 키 읽기 바꾸줘,0.926,1.082,4.3 GB,,X,O,,"한국어화 재발(환경 변수·API 키) + '바꾸줘' 오타 도입, 비문 잔존"
qwen3.5:4b,s21,커밋해줘,커밋해줘,0.927,1.013,4.3 GB,,해당없음,O,,무변경 통과 ✓
qwen3.5:4b,s22,테스트 돌려,테스트 돌리기,0.922,0.991,4.3 GB,,해당없음,O,,돌려→'돌리기' 명사형 변형(경미)
qwen3.5:4b,s23,Build 다시 해봐,Build 를 다시 실행해달라.,0.910,1.082,4.3 GB,,X,O,,Build 미교정(v1 '빌드' 교정에서 후퇴) + 해봐→실행해달라 바꿔쓰기
qwen3.5:4b,s24,린트 에러 고쳐줘,린트 에러 고쳐줘,0.929,1.049,4.3 GB,,해당없음,O,,원문 유지 ✓
qwen3.5:4b,s25,로그인 session이 완료됐을 때 Redirect라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,로그인 세션이 완료될 때 redirect 라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,0.958,1.351,4.3 GB,,X,O,2/3·자연4,"만료→완료 잔존, 리다이렉트·테스트 유지"
qwen3.5:4b,s26,지금 검색기는 느린데 디바운싱 추가하고 디바운싱 추가해서 API 호출 줄여줘,검색기가 느리므로 디바운싱을 추가하여 API 호출 수를 줄이도록 해주세요.,0.952,1.332,4.3 GB,,O,O,3/3·자연4,"중복 디바운싱 정리 ✓, 호출 줄이기 보존"
qwen3.5:4b,s27,결제 모듈에서 에러 핸들링 로직을 리페트링하고 실패했을 때 재시도를 3번 할 수 있도록 기능 추가해줘,"결제 모듈에서 에러 핸들링 로직을 리팩토링하고, 실패 시 최대 3 회까지 재시도하는 기능을 추가해 주세요.",0.946,1.549,4.3 GB,,O,O,2/2·자연4,"리페트링→리팩토링 ✓, '최대 3회까지 재시도' 등가 표현"
qwen3.5:4b,s28,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드는 localStorage에 저장하도록 기능을 추가해줘,"다크 모드 토글이 새로고침될 때 풀리는 버그가 있어, 다크 모드와 같은 컬러 모드를 localStorage 에 저장하도록 기능을 추가해 줘.",0.952,1.583,4.3 GB,,해당없음,O,2/2·자연4,
